Index,Time,rps
0,0.0,5.0
1,15.0,4.983333333333333
2,30.0,5.0
3,45.0,5.0
4,60.0,5.0
5,75.0,5.016666666666667
6,90.0,5.0
7,105.0,5.0
8,120.0,5.0
9,135.0,5.0
10,150.0,5.0
11,165.0,5.0
12,180.0,5.0
13,195.0,5.0
14,210.0,5.0
15,225.0,5.0
16,240.0,5.0
17,285.0,1.0
18,300.0,3.0
19,315.0,6.955555555555556
20,330.0,10.15
21,345.0,11.916666666666666
22,360.0,11.916666666666666
23,375.0,9.45
24,390.0,5.766666666666667
25,405.0,5.0
26,420.0,5.0
27,435.0,4.983333333333333
28,450.0,5.0
29,465.0,5.0
30,480.0,5.0
31,495.0,5.016666666666667
32,510.0,5.0
33,525.0,5.0
34,540.0,5.0
