Index,mean,std,Protocol,Name,Size,Type,Role,name
0,0.018848354608258577,0.008545981348297628,raft,during changes,5x1,raft-leader,leader,raft - 5x1
1,0.014692628870469614,0.001896103933023594,raft,during changes,5x1,raft-cohorts,cohorts,raft - 5x1
