Index,mean,std,Protocol,Name,Size,Type,Role,name
0,34252.027513134584,6340.287439185025,raft,during changes,5x1,raft-leader,leader,raft 5x1
1,19898.633616995143,3713.812273928381,raft,during changes,5x1,raft-cohorts,cohorts,raft 5x1
