Index,Time,rps
0,0,5.0
1,15000,5.0
2,30000,5.0
3,45000,5.0
4,60000,5.0
5,75000,5.0
6,90000,5.0
7,105000,5.0
8,120000,5.0
9,135000,5.0
10,150000,5.0
11,165000,5.0
12,180000,5.0
13,195000,5.0
14,210000,5.0
15,225000,5.0
16,240000,5.0
17,255000,5.0
18,270000,3.816666666666667
19,285000,2.566666666666667
20,300000,1.3166666666666669
21,315000,0.0666666666666666
22,330000,0.0166666666666666
23,345000,2.6333333333333333
24,360000,7.266666666666667
25,375000,9.783333333333331
26,390000,11.016666666666667
27,405000,9.65
28,420000,6.266666666666667
29,435000,5.0
30,450000,3.8333333333333335
31,465000,2.583333333333333
32,480000,1.3333333333333333
33,495000,0.0833333333333333
34,510000,0.2333333333333333
35,525000,0.7666666666666667
36,540000,1.2666666666666666
37,555000,5.4
38,570000,10.916666666666666
39,585000,11.633333333333333
40,600000,12.383333333333333
41,615000,9.5
42,630000,5.0
43,645000,5.0
44,660000,5.0
45,720000,15.0
46,735000,13.866666666666667
47,750000,10.911111111111111
48,765000,9.433333333333334
49,780000,6.933333333333334
50,795000,5.0
51,810000,3.983333333333333
52,825000,2.7333333333333334
53,840000,1.4833333333333334
54,855000,0.2333333333333333
55,870000,0.0
56,885000,2.583333333333333
57,900000,6.4
58,915000,9.766666666666667
59,930000,11.016666666666667
60,945000,9.683333333333334
61,960000,9.683333333333334
