name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 5x2 peers - cohorts,0.0132691587430762,0.0836904768069799,0.1008097064386673,0.1474559330299413,0.2419854666578957
gpac - 5x2 peers - leaders,0.1908101401482593,0.2287768283099974,0.244416337852398,0.2642824326563032,0.3112592193868768
2pc - 5x2 peers - cohorts,0.0766038145036677,0.0906558971136053,0.116099964904005,0.196755252694746,0.3552742735843758
2pc - 5x2 peers - leaders,0.2741501997041068,0.2992733100307087,0.3191840255527682,0.3500908948708412,0.4129022453580107
