name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
raft - 3x1 peers,43.95031270647504,46.32442323810141,47.92580395345147,48.5688825617032,49.29323361640794
raft - 4x1 peers,66.31106254194175,69.18236676014793,71.02993457949256,71.58025191101025,73.78024651947854
raft - 5x1 peers,61.47824438626807,66.15923875387996,68.73395829123903,69.99121299391228,70.86693410272794
raft - 6x1 peers,32.472768877232404,34.60387217329619,35.97617082349344,36.70298549424621,37.525817762620825
raft - 10x1 peers,31.37028215791155,32.329230538449906,33.182794057625244,33.560891090881064,33.97811333807453
raft - 20x1 peers,18.640357417669268,18.969419272727663,19.071706309963083,19.20007495709263,19.38875652472052
