name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 5x2 peers - cohorts,25015.951013002723,25433.297791284083,25690.937897301177,26024.74376992929,26574.03004117613
gpac - 5x2 peers - leaders,94569.52318352368,102769.44557083143,108164.9052698534,112153.15135212292,125223.8514751966
2pc - 5x2 peers - cohorts,30619.598428633784,31289.023596060637,31862.47633194661,35606.57910801323,37786.48495173197
2pc - 5x2 peers - leaders,46299.77699904428,46825.28342113801,47529.64443821261,48347.10711937572,48828.44634119421
