Index,mean,std,Protocol,Name,Size,Type,Role,name
0,42516.97391127674,38100.26619559513,alvin,during changes,5x1,alvin-leader,leader,alvin - 5x1
1,37535.80903625573,32337.111069779836,alvin,during changes,5x1,alvin-cohorts,cohorts,alvin - 5x1
