Index,mean,std,Protocol,Name,Size,Type,Role,name
0,34540742.35897436,4887238.1581953615,paxos,idle,5x1,paxos-leader,leader,paxos 5x1
1,33438104.615384616,4793849.533894632,paxos,idle,5x1,paxos-cohorts,cohorts,paxos 5x1
