Index,mean,std,Protocol,Name,Size,Type,Role,name
0,32682374.90909091,4684244.510390823,paxos,during changes,3x1,paxos-leader,leader,paxos - 3x1
1,31969242.0,4432011.816841196,paxos,during changes,3x1,paxos-cohorts,cohorts,paxos - 3x1
