Index,mean,std,Protocol,Name,Size,Type,Role,name
0,33377374.89230769,4654542.267865495,raft,during changes,5x1,raft-leader,leader,raft - 5x1
1,32398837.846153848,4155735.460874319,raft,during changes,5x1,raft-cohorts,cohorts,raft - 5x1
