Index,mean,std,Protocol,Name,Size,Type,Role,name
0,34036104.92307692,5022124.143744549,paxos,during changes,5x1,paxos-leader,leader,paxos 5x1
1,33545927.589743588,4816336.14829064,paxos,during changes,5x1,paxos-cohorts,cohorts,paxos 5x1
