Index,mean,std,Protocol,Name,Size,Type,Role,name
0,33393040.246153846,4459877.302043675,alvin,during changes,5x1,alvin-leader,leader,alvin - 5x1
1,32840057.076923076,4294335.334332579,alvin,during changes,5x1,alvin-cohorts,cohorts,alvin - 5x1
