Index,mean,std,Protocol,Name,Size,Type,Role,name
0,34926672.50793651,4307974.149158589,alvin,during changes,3x1,alvin-leader,leader,alvin - 3x1
1,35652320.38095238,4464209.042654131,alvin,during changes,3x1,alvin-cohorts,cohorts,alvin - 3x1
