Index,mean,std,Protocol,Name,Size,Type,Role,name
0,0.021061554987555017,0.0025145016770894315,paxos,during changes,3x1,paxos-leader,leader,paxos - 3x1
1,0.019869550265323915,0.0017667098111228026,paxos,during changes,3x1,paxos-cohorts,cohorts,paxos - 3x1
