Index,mean,std,Protocol,Name,Size,Type,Role,name
0,33166704.73846154,5218414.638639588,raft,during changes,5x1,raft-leader,leader,raft - 5x1
1,31747149.692307692,4383418.717165533,raft,during changes,5x1,raft-cohorts,cohorts,raft - 5x1
